,Year,Data Type,Institution,Degree Name,Discipline Name,Non Res Alien M,Non Res Alien F,Unknown M,Unknown F,Hispanic M,Hispanic F,American Indian M,American Indian F,Asian American M,Asian American F,African American M,African American F,Hawaiian/pac.isl M,Hawaiian/pac.isl F,White M,White F,Multiracial M,Multiracial F,Total
217,2019,Enrollment,Arkansas Tech University,Computer Science (BS),Computer Science (inside engineering),12,1,0,0,16,3,0,0,8,1,3,1,0,0,78,8,7,1,139
218,2019,Enrollment,Arkansas Tech University,Cybersecurity (BS),Computer Science (inside engineering),3,2,0,0,5,3,0,0,2,0,1,0,1,0,59,9,7,1,93
219,2019,Enrollment,Arkansas Tech University,Electrical Engineering (BS),Electrical Engineering,12,2,0,0,15,3,1,0,3,0,6,2,0,0,79,8,9,1,141
220,2019,Enrollment,Arkansas Tech University,Mechanical Engineering (BS),Mechanical Engineering,37,1,0,0,19,0,2,0,3,2,10,3,0,0,178,20,19,1,295
221,2019,Enrollment,Arkansas Tech University,Masters of Engineering - Electrical,Electrical Engineering,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
222,2019,Enrollment,Arkansas Tech University,Masters of Engineering - Mechanical,Electrical Engineering,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
223,2020,Enrollment,Abilene Christian University,Computer Engineering (B.S.),Other Engineering Disciplines,0,0,2,0,0,0,0,0,2,0,57,16,0,0,3,0,0,0,80
224,2020,Enrollment,Abilene Christian University,Computer Science (B.S.),Other Engineering Disciplines,0,0,4,0,0,0,0,0,0,0,89,34,0,0,3,1,0,0,131
225,2020,Enrollment,Abilene Christian University,Economics (B.S.),Other Engineering Disciplines,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,5
226,2020,Enrollment,Abilene Christian University,Electrical and Electronics Engineering Technology,Other Eng. Technology Disciplines,0,0,5,0,0,0,0,0,0,0,45,7,0,0,2,0,0,0,59
227,2020,Enrollment,Abilene Christian University,Information and Logistics Technology,Other Eng. Technology Disciplines,0,0,3,0,0,0,0,0,0,0,31,13,0,0,0,0,0,0,47
228,2020,Enrollment,Abilene Christian University,Manufacturing Engineering (B.S.),Other Engineering Disciplines,0,0,3,0,0,0,0,0,1,1,28,3,0,0,3,0,0,0,39
229,2020,Enrollment,Abilene Christian University,Mathematics (B.S.),Other Engineering Disciplines,0,0,0,0,0,0,0,0,1,0,6,19,0,0,1,3,0,0,30
230,2020,Enrollment,Abilene Christian University,Mechanical Engineering Technology,Other Eng. Technology Disciplines,0,0,13,0,1,0,0,0,1,0,68,26,0,0,6,0,0,0,115
231,2020,Enrollment,Air Force Institute of Technology,Acquisition and Program Management (M.S),Other Engineering Disciplines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
232,2020,Enrollment,Air Force Institute of Technology,Aeronautical Engineering (M.S),Aerospace Engineering,0,0,2,0,1,1,0,0,5,0,0,0,0,0,30,1,0,0,40
233,2020,Enrollment,Air Force Institute of Technology,Applied Mathematics (M.S),Other Engineering Disciplines,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,4
234,2020,Enrollment,Air Force Institute of Technology,Applied Physics (M.S),Engr. Science and Engr. Physics,0,0,2,0,2,1,0,0,1,0,0,0,0,0,16,2,0,0,24
235,2020,Enrollment,Air Force Institute of Technology,Applied Systems Engineering (M.E),Industrial/Manufacturing/Systems Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
236,2020,Enrollment,Air Force Institute of Technology,Astronautical Engineering (M.S),Aerospace Engineering,0,0,2,0,0,0,0,0,2,0,1,1,0,0,11,1,1,0,19
237,2020,Enrollment,Air Force Institute of Technology,Atmospheric Sciences (M.S),Engr. Science and Engr. Physics,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,6
238,2020,Enrollment,Air Force Institute of Technology,Computer Engineering (M.S),Computer Engineering,0,0,2,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,13
239,2020,Enrollment,Air Force Institute of Technology,Computer Science (M.S),Computer Science (inside engineering),0,0,4,0,1,0,0,0,3,0,2,0,0,0,18,2,1,0,31
240,2020,Enrollment,Air Force Institute of Technology,Cost Analysis (M.S),Other Engineering Disciplines,0,0,0,0,1,0,0,0,3,2,1,0,1,0,11,1,0,0,20
241,2020,Enrollment,Air Force Institute of Technology,Cyber Operations (M.S),Computer Science (inside engineering),0,0,0,0,1,1,0,0,3,1,0,0,0,0,11,2,0,0,19
242,2020,Enrollment,Air Force Institute of Technology,Electrical Engineering (M.S),Electrical Engineering,2,0,2,1,4,0,0,0,6,0,4,1,0,0,42,4,2,0,68
243,2020,Enrollment,Air Force Institute of Technology,Engineering Management (M.S),Engineering Management,1,0,3,0,1,1,0,0,0,1,3,0,0,0,35,8,2,1,56
244,2020,Enrollment,Air Force Institute of Technology,Environmental Engineering and Science (M.S),Environmental Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,9
245,2020,Enrollment,Air Force Institute of Technology,Industrial Hygiene (M.S),Other Engineering Disciplines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3
246,2020,Enrollment,Air Force Institute of Technology,Logistics (M.S.),Other Engineering Disciplines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,2020,Enrollment,Air Force Institute of Technology,Logistics and Supply Chain Management (M.S.),Other Engineering Disciplines,0,0,1,0,2,1,0,0,0,0,3,1,0,0,9,1,1,0,19
248,2020,Enrollment,Air Force Institute of Technology,Materials Science (M.S),Aerospace Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
249,2020,Enrollment,Air Force Institute of Technology,Nuclear Engineering (M.S),Nuclear Engineering,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,0,2,0,20
250,2020,Enrollment,Air Force Institute of Technology,Operations Management (M.S),Other Engineering Disciplines,0,0,2,0,1,0,0,0,0,0,2,0,0,0,11,0,0,0,16
251,2020,Enrollment,Air Force Institute of Technology,Operations Research (M.S),Other Engineering Disciplines,0,0,2,2,8,1,1,0,2,1,5,0,0,1,30,7,5,0,65
252,2020,Enrollment,Air Force Institute of Technology,Optical Science and Engineering (M.S),Engr. Science and Engr. Physics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
253,2020,Enrollment,Air Force Institute of Technology,Scientific and Technical Intelligence (M.S),Other Engineering Disciplines,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,1,7
254,2020,Enrollment,Air Force Institute of Technology,Space Systems (M.S),Aerospace Engineering,0,0,3,0,0,0,0,0,1,0,0,1,0,0,7,2,0,0,14
255,2020,Enrollment,Air Force Institute of Technology,Systems Engineering (M.S),Industrial/Manufacturing/Systems Engineering,1,0,0,0,1,0,0,0,1,1,1,0,0,0,23,4,2,2,36
256,2020,Enrollment,Air Force Institute of Technology,Aeronautical Engineering (Ph.D.),Aerospace Engineering,0,0,1,0,1,0,0,0,0,0,0,0,0,0,10,1,0,0,13
257,2020,Enrollment,Air Force Institute of Technology,Applied Mathematics (Ph.D.),Other Engineering Disciplines,0,0,1,0,2,0,0,0,1,0,0,0,0,0,7,2,0,0,13
258,2020,Enrollment,Air Force Institute of Technology,Applied Physics (Ph.D.),Engr. Science and Engr. Physics,0,0,1,0,2,0,0,0,0,0,0,0,0,0,7,3,0,1,14
259,2020,Enrollment,Air Force Institute of Technology,Astronautical Engineering (Ph.D.),Aerospace Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,8
260,2020,Enrollment,Air Force Institute of Technology,Computer Engineering (Ph.D.),Computer Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
261,2020,Enrollment,Air Force Institute of Technology,Computer Science (Ph.D.),Computer Science (inside engineering),0,0,1,0,1,0,0,0,1,0,0,0,0,0,5,1,0,0,9
262,2020,Enrollment,Air Force Institute of Technology,Electrical Engineering (Ph.D.),Electrical Engineering,0,0,3,0,0,0,0,0,2,0,0,0,0,0,12,0,2,1,20
263,2020,Enrollment,Air Force Institute of Technology,Logistics (Ph.D.),Other Engineering Disciplines,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,5
264,2020,Enrollment,Air Force Institute of Technology,Materials Science (Ph.D.),Aerospace Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
265,2020,Enrollment,Air Force Institute of Technology,Nuclear Engineering (Ph.D.),Nuclear Engineering,0,0,0,0,1,0,0,0,1,0,1,0,0,0,9,1,0,0,13
266,2020,Enrollment,Air Force Institute of Technology,Operations Research (Ph.D.),Other Engineering Disciplines,1,0,0,0,1,0,0,0,0,0,1,0,0,0,13,1,0,0,17
267,2020,Enrollment,Air Force Institute of Technology,Optical Science and Engineering (Ph.D.),Engr. Science and Engr. Physics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
268,2020,Enrollment,Air Force Institute of Technology,Space Systems (Ph.D.),Aerospace Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
269,2020,Enrollment,Air Force Institute of Technology,Systems Engineering (Ph.D.),Industrial/Manufacturing/Systems Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,7
270,2020,Enrollment,"Alfred University, NY State College of Ceramics",Biomaterials Engineering (B.S.),Biomedical Engineering,0,0,0,2,1,1,0,0,0,0,0,1,0,0,14,13,0,0,32
